Time,Sum of Playercount
9/29/2018,150215419
9/30/2018,165257058
10/1/2018,161501360
10/2/2018,157509934
10/3/2018,127310444
10/4/2018,153903905
10/5/2018,144716130
10/6/2018,172777067
10/7/2018,162995646
10/8/2018,134288082
10/9/2018,134777877
10/10/2018,119247011
10/11/2018,123572404
10/12/2018,138528013
10/13/2018,161616910
10/14/2018,155102534
10/15/2018,122480188
10/16/2018,117612509
10/17/2018,95906614
10/18/2018,119334993
10/19/2018,134815348
10/20/2018,152362986
10/21/2018,149487256
10/22/2018,118984406
10/23/2018,112550515
10/24/2018,106518651
10/25/2018,121858936
10/26/2018,135984106
10/27/2018,153652131
10/28/2018,148195019
10/29/2018,118387974
10/30/2018,116809169
10/31/2018,116478035
11/1/2018,109940390
11/2/2018,131320377
11/3/2018,142734324
11/4/2018,142434032
11/5/2018,113102944
11/6/2018,111577335
11/7/2018,97531932
11/8/2018,111952059
11/9/2018,119911622
11/10/2018,142087242
11/11/2018,135677530
11/12/2018,110429915
11/13/2018,108822252
11/14/2018,103649524
11/15/2018,111252064
11/16/2018,123411589
11/17/2018,145595526
11/18/2018,139718485
11/19/2018,110899510
11/20/2018,111596177
11/21/2018,102833353
11/22/2018,112811324
11/23/2018,123344549
11/24/2018,143132251
11/25/2018,137747235
11/26/2018,113058870
11/27/2018,111370502
11/28/2018,104009167
11/29/2018,112611119
11/30/2018,126650367
12/1/2018,148402923
12/2/2018,144079825
12/3/2018,115344611
12/4/2018,114793633
12/5/2018,108514993
12/6/2018,117484042
12/7/2018,127199076
12/8/2018,145139658
12/9/2018,139723531
12/10/2018,116675022
12/11/2018,113744067
12/12/2018,106258409
12/13/2018,112031770
12/14/2018,126251858
12/15/2018,147499090
12/16/2018,141809595
12/17/2018,116594652
12/18/2018,116491328
12/19/2018,114525623
12/20/2018,151227520
12/21/2018,159502924
12/22/2018,175407286
12/23/2018,170347928
12/24/2018,140977085
12/25/2018,139733068
12/26/2018,143177565
12/27/2018,134374810
12/28/2018,149025696
12/29/2018,155322714
12/30/2018,173029282
12/31/2018,162055292
1/1/2019,158284112
