Time,Sum of Playercount
9/29/2018,13965058
9/30/2018,14423564
10/1/2018,11629175
10/2/2018,11636443
10/3/2018,12401640
10/4/2018,11875668
10/5/2018,13325517
10/6/2018,15986036
10/7/2018,15725843
10/8/2018,11953927
10/9/2018,11896237
10/10/2018,11474168
10/11/2018,11239135
10/12/2018,12878804
10/13/2018,16023331
10/14/2018,15969738
10/15/2018,11325878
10/16/2018,10553082
10/17/2018,10634699
10/18/2018,10572880
10/19/2018,12436405
10/20/2018,16150928
10/21/2018,15846825
10/22/2018,11124987
10/23/2018,10630972
10/24/2018,10275807
10/25/2018,10309840
10/26/2018,11751928
10/27/2018,15128703
10/28/2018,14826085
10/29/2018,10795258
10/30/2018,9685101
10/31/2018,10964877
11/1/2018,11800435
11/2/2018,13462895
11/3/2018,16262690
11/4/2018,15917006
11/5/2018,11352195
11/6/2018,10687456
11/7/2018,10735421
11/8/2018,10596871
11/9/2018,12280313
11/10/2018,16509591
11/11/2018,16063874
11/12/2018,11308541
11/13/2018,10369513
11/14/2018,10200161
11/15/2018,10370930
11/16/2018,11725554
11/17/2018,15202759
11/18/2018,14533789
11/19/2018,10036041
11/20/2018,9849444
11/21/2018,10516091
11/22/2018,10821307
11/23/2018,12572140
11/24/2018,16301186
11/25/2018,16091980
11/26/2018,11360858
11/27/2018,10850772
11/28/2018,11073348
11/29/2018,11003312
11/30/2018,12695847
12/1/2018,16349032
12/2/2018,15668021
12/3/2018,10599719
12/4/2018,10320304
12/5/2018,10369603
12/6/2018,10063951
12/7/2018,11045733
12/8/2018,14183854
12/9/2018,13478558
12/10/2018,9382162
12/11/2018,9702358
12/12/2018,11408358
12/13/2018,11954001
12/14/2018,14140970
12/15/2018,18753988
12/16/2018,18767424
12/17/2018,14048921
12/18/2018,14498466
12/19/2018,14915432
12/20/2018,15237722
12/21/2018,17471143
12/22/2018,20962493
12/23/2018,20774211
12/24/2018,17377650
12/25/2018,18999166
12/26/2018,20290874
12/27/2018,21028973
12/28/2018,22546570
12/29/2018,24261154
12/30/2018,25450974
12/31/2018,23502693
1/1/2019,22686375
1/2/2019,21127097
1/3/2019,19500987
1/4/2019,21484021
1/5/2019,23649094
1/6/2019,22668015
1/7/2019,17795246
1/8/2019,16366679
1/9/2019,16059297
1/10/2019,15727828
1/11/2019,17259838
1/12/2019,20954102
1/13/2019,20096047
1/14/2019,14797805
1/15/2019,14307546
1/16/2019,14239997
1/17/2019,13829542
1/18/2019,15099519
1/19/2019,18445193
1/20/2019,18388296
1/21/2019,14567909
1/22/2019,14176359
1/23/2019,14441078
1/24/2019,14394414
1/25/2019,15291993
1/26/2019,18149283
1/27/2019,18301536
1/28/2019,14334759
1/29/2019,13582030
1/30/2019,13310650
1/31/2019,13718152
2/1/2019,14303000
2/2/2019,16666647
2/3/2019,16771391
2/4/2019,13257034
2/5/2019,13128571
2/6/2019,14567836
2/7/2019,15851295
2/8/2019,17876205
2/9/2019,21773668
2/10/2019,22867696
2/11/2019,19049066
2/12/2019,18623721
2/13/2019,17881583
2/14/2019,16552002
2/15/2019,17859743
2/16/2019,20837804
2/17/2019,20705527
2/18/2019,16885954
2/19/2019,15691999
2/20/2019,14753816
2/21/2019,14534828
2/22/2019,15850146
2/23/2019,19495442
2/24/2019,19164964
2/25/2019,13853653
2/26/2019,13439628
2/27/2019,13471631
2/28/2019,13262600
3/1/2019,15106991
3/2/2019,19784578
3/3/2019,20275020
3/4/2019,15238234
3/5/2019,15376167
3/6/2019,15269320
3/7/2019,15203839
3/8/2019,18061611
3/9/2019,22982990
3/10/2019,22562165
3/11/2019,10159486
3/12/2019,15350196
3/13/2019,15362218
3/14/2019,15871649
3/15/2019,19180317
3/16/2019,24697378
3/17/2019,23162953
3/18/2019,13010427
3/19/2019,15463059
3/20/2019,15156964
3/21/2019,14984267
3/22/2019,17350414
3/23/2019,21777668
3/24/2019,20823891
3/25/2019,14521044
3/26/2019,14183283
3/27/2019,13879397
3/28/2019,13451878
3/29/2019,15212968
3/30/2019,18901708
3/31/2019,18255344
4/1/2019,12532665
4/2/2019,11401218
4/3/2019,11928663
4/4/2019,13330038
4/5/2019,15627186
4/6/2019,17988794
4/7/2019,17916162
4/8/2019,13040050
4/9/2019,12907404
4/10/2019,12855916
4/11/2019,12683569
4/12/2019,14280761
4/13/2019,18102911
4/14/2019,17800961
4/15/2019,12818167
4/16/2019,12515501
4/17/2019,12437263
